"punishment";"offence";"age";"tot";"length";"region";"2023"
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Høje-Taastrup";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Ishøj";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Lyngby-Taarbæk";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Rødovre";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Vallensbæk";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Allerød";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Egedal";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Fredensborg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Frederikssund";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Furesø";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Gribskov";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Halsnæs";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Helsingør";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Hillerød";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Hørsholm";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Rudersdal";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Bornholm";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Christiansø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Greve";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Køge";5
