"sex";"offence";"region";"age";"length";"2020";"2021";"2022";"2023"
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";"Unknown lenght of penalty";3;6;1;0
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";"Up to 14 days";112;102;122;111
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";"15 - 21 days";142;107;145;166
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";"22 - 30 days";207;173;214;238
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";"31 - 60 days";432;402;474;507
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">2 - 3 months";226;255;227;290
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">3 - 4 months";122;136;151;148
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">4 - 6 months";225;196;237;245
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">6 - 9 months";115;128;99;130
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">9 - 12 months";126;127;124;116
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">12 - 15 months";57;40;53;39
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">15 - 18 months";43;57;51;58
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">18 - 24 months";53;54;56;80
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">2- 3 years";96;75;78;102
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">3 - 4 years";16;31;32;34
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">4 - 5 years";13;8;17;14
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">5 - 6 years";12;14;17;24
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">6 - 8 years";22;13;19;20
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">8 - 12 years";9;12;18;19
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";">12 year -";8;12;12;17
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";"Imprisonment for life";1;0;2;3
"Total";"Nature of the offence, total";"All Denmark";"30-39 years";"Unknown lenght of penalty";5;8;3;7
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";"Up to 14 days";54;55;64;56
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";"15 - 21 days";87;84;87;108
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";"22 - 30 days";134;136;133;170
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";"31 - 60 days";296;279;301;337
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">2 - 3 months";194;144;133;166
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">3 - 4 months";87;73;95;89
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">4 - 6 months";155;117;128;146
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">6 - 9 months";81;79;51;72
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">9 - 12 months";59;75;63;63
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">12 - 15 months";27;38;22;28
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">15 - 18 months";27;25;23;27
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">18 - 24 months";26;34;31;30
