"offence";"region";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Prostitution, etc.";"K�ge";0;0;1;0;0;0;0;1;0;0;0;2;0;11
"Prostitution, etc.";"Lejre";0;1;1;0;0;0;0;0;0;0;0;0;0;1
"Prostitution, etc.";"Roskilde";0;1;0;0;2;0;0;0;1;1;0;0;1;0
"Prostitution, etc.";"Solr�d";0;0;1;0;0;0;0;0;0;2;1;0;0;2
"Prostitution, etc.";"Faxe";0;0;1;0;1;0;0;2;0;0;0;1;1;3
"Prostitution, etc.";"Guldborgsund";2;3;1;1;2;1;0;2;0;1;1;4;0;3
"Prostitution, etc.";"Holb�k";0;1;1;0;0;1;1;0;0;0;3;1;3;8
"Prostitution, etc.";"Kalundborg";1;0;0;0;0;0;1;0;0;2;1;0;1;5
"Prostitution, etc.";"Lolland";1;1;1;1;0;0;0;0;1;1;1;1;1;6
"Prostitution, etc.";"N�stved";0;2;0;0;3;0;1;0;1;4;2;0;1;5
"Prostitution, etc.";"Odsherred";1;0;0;0;1;2;0;1;1;2;0;4;0;6
"Prostitution, etc.";"Ringsted";0;0;1;0;0;0;1;5;0;0;1;1;1;1
"Prostitution, etc.";"Slagelse";0;0;0;0;0;0;0;6;5;0;2;3;0;60
"Prostitution, etc.";"Sor�";0;1;0;0;0;0;0;1;0;1;2;0;0;0
"Prostitution, etc.";"Stevns";0;1;0;0;0;0;0;0;0;0;0;0;2;0
"Prostitution, etc.";"Vordingborg";1;0;1;0;0;0;1;1;0;1;0;1;0;2
"Prostitution, etc.";"Region Syddanmark";12;21;6;22;22;7;13;10;17;13;34;22;30;87
"Prostitution, etc.";"Assens";1;1;0;1;0;0;1;1;1;0;1;7;0;2
"Prostitution, etc.";"Faaborg-Midtfyn";0;0;0;0;0;0;1;0;0;1;1;0;1;2
"Prostitution, etc.";"Kerteminde";0;1;0;1;1;0;1;0;0;0;0;0;1;2
"Prostitution, etc.";"Langeland";0;0;0;0;0;0;1;0;0;0;0;1;2;1
"Prostitution, etc.";"Middelfart";0;1;0;0;0;0;0;0;1;1;0;1;0;4
"Prostitution, etc.";"Nordfyns";1;0;0;0;0;0;0;1;0;0;0;0;1;4
"Prostitution, etc.";"Nyborg";2;1;0;1;0;1;0;1;0;1;0;0;0;0
"Prostitution, etc.";"Odense";2;6;0;5;2;2;0;1;2;0;1;2;2;13
"Prostitution, etc.";"Svendborg";0;0;0;1;1;0;0;0;0;1;1;1;0;4
"Prostitution, etc.";"�r�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prostitution, etc.";"Billund";0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Prostitution, etc.";"Esbjerg";2;2;2;3;10;1;1;0;4;2;2;5;5;15
"Prostitution, etc.";"Fan�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prostitution, etc.";"Fredericia";0;1;1;0;1;1;1;2;1;0;5;0;2;1
"Prostitution, etc.";"Haderslev";0;3;2;0;0;2;0;0;2;1;2;0;3;1
"Prostitution, etc.";"Kolding";2;0;0;1;0;0;1;1;1;1;1;0;0;11
"Prostitution, etc.";"S�nderborg";0;1;0;1;3;0;2;0;2;1;6;2;1;4
"Prostitution, etc.";"T�nder";0;0;0;0;0;0;0;0;0;2;3;2;0;3
"Prostitution, etc.";"Varde";1;0;0;6;1;0;0;1;0;0;0;0;2;4
"Prostitution, etc.";"Vejen";0;0;0;0;0;0;1;0;1;0;2;0;1;1
