"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Russia";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Russia";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Common assault";1;4;8;2;4;3;4;5;6;9;0;7;5;3
"Russia";"Grievous assault";2;0;1;0;4;1;1;2;1;2;0;0;0;2
"Russia";"Particularly grievous assault";0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Russia";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Other offences against life and limb";1;0;0;0;0;0;1;1;0;1;0;0;0;1
"Russia";"Offences against personal liberty";0;0;2;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Threats";0;2;0;0;2;0;0;1;0;0;3;2;3;0
"Russia";"Offenses against property, total";36;57;50;45;57;34;47;32;37;23;24;28;34;41
"Russia";"Forgery";0;1;1;3;1;2;0;1;0;0;0;1;1;1
"Russia";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Arson";0;1;0;0;0;0;1;0;0;0;0;0;0;0
"Russia";"Burglary (banks, shops, etc.)";2;1;1;1;0;0;0;0;0;0;0;0;0;0
"Russia";"Household burglary";0;0;1;2;2;0;1;0;1;0;1;2;0;0
"Russia";"Burglary (uninhabited buildings)";0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Russia";"Theft from cars, boats, etc.";1;1;2;0;1;0;0;0;0;0;1;0;0;0
"Russia";"Shoplifting, etc.";22;46;30;30;41;24;33;22;26;17;18;17;21;21
"Russia";"Other theft";5;1;5;4;4;3;6;3;4;2;1;3;2;1
"Russia";"Theft of vehicle";0;1;0;1;0;0;1;1;0;1;0;0;0;0
"Russia";"Theft of mopeds";0;0;0;0;0;1;1;0;0;0;0;0;0;0
"Russia";"Theft of bicycles";0;0;1;1;0;0;0;0;0;1;0;0;1;1
"Russia";"Theft of other objects";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Larceny by finding";0;0;0;1;0;0;1;0;0;0;1;0;0;0
"Russia";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Fraud";1;1;3;1;1;0;1;1;1;0;0;1;1;6
"Russia";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Blackmail and usury";0;0;0;0;0;0;0;2;0;0;0;0;2;0
"Russia";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Handling stolen goods";2;1;0;0;2;1;0;0;0;1;1;1;1;6
"Russia";"Robbery";0;0;2;0;3;0;2;0;2;0;0;3;2;2
"Russia";"Gross tax evasion, etc.";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Malicious damage to property";1;2;4;1;0;3;0;2;3;1;1;0;3;3
"Russia";"Feloniously receiving stolen goods";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Other offences, total";3;3;2;2;7;4;1;6;3;2;0;2;4;2
"Russia";"Offences against public authority, etc.";0;2;0;0;2;2;0;3;2;1;0;1;1;0
"Russia";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Perjury";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Russia";"Perjury, other";0;1;1;1;0;0;0;1;0;0;0;0;0;2
"Russia";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Russia";"Trafficking of drugs, etc.";0;0;1;0;1;0;0;1;0;0;0;1;1;0
"Russia";"Smuggling, etc. of drugs";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Russia";"General public offences";0;0;0;0;0;0;0;1;0;0;0;0;1;0
"Russia";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Warnings";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Russia";"Privacy infringement, defamation";3;0;0;0;4;1;0;0;0;1;0;0;1;0
"Russia";"Trafic law, total";61;93;83;92;104;92;131;109;97;117;121;151;175;117
"Russia";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Russia";"Traffic acc. under influence of alcohol";0;1;0;0;3;0;2;0;0;1;2;0;3;1
"Russia";"Drunken driving";12;11;6;6;7;5;3;4;7;4;11;7;7;9
"Russia";"Vehicle defect offences";1;3;4;3;1;2;4;2;2;1;4;1;2;1
"Russia";"Road Traffic Act, other";48;78;73;83;93;85;122;103;88;111;104;143;162;106
"Russia";"Special laws, total";12;20;21;42;36;39;42;43;42;51;64;62;54;61
"Russia";"Euphoriants Act";7;12;5;17;13;20;16;13;12;20;12;23;11;13
"Russia";"Firearms Act";1;1;2;3;2;1;3;5;5;6;10;3;10;6
"Russia";"Income Tax And Fiscal Acts";0;0;0;0;5;2;1;4;0;0;2;6;2;3
"Russia";"Other special laws.";2;2;8;16;12;11;18;13;17;17;29;19;18;27
"Russia";"Health and social security legislation";1;1;1;1;2;1;0;1;1;0;2;3;6;3
"Russia";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Environmental Act";0;0;1;2;0;1;1;2;2;3;1;2;1;2
"Russia";"Other legislation applying to animals, hunting, etc";0;2;2;2;1;1;2;3;2;2;2;2;2;2
"Russia";"Employ. and transport legislation, other";0;2;1;1;0;0;0;0;0;0;3;2;2;2
"Russia";"Companies Act";0;0;0;0;0;0;0;1;0;0;0;1;2;0
"Russia";"Other legislation applying to the Armed Forces";0;0;0;0;1;0;1;1;3;2;3;1;0;2
"Russia";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Other legislation relating to gambling, licencing, trade";1;0;1;0;0;1;0;0;0;0;0;0;0;1
"Russia";"Other special laws";0;0;0;0;0;1;0;0;0;1;0;0;0;0
"Switzerland";"Criminal decisions total";29;29;39;31;29;19;28;21;27;15;17;25;34;26
"Switzerland";"Criminal code, total";4;3;3;7;3;1;5;4;4;4;1;3;5;1
"Switzerland";"Sexual offenses, total";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Crimes of violence, total";0;1;0;4;1;0;1;1;0;1;1;0;1;0
"Switzerland";"Assault against public servant while in discharge of his duties";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Disturbance of public order";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Common assault";0;1;0;3;0;0;0;1;0;1;1;0;1;0
"Switzerland";"Grievous assault";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Switzerland";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Other offences against life and limb";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Switzerland";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Threats";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Offenses against property, total";3;3;3;3;2;1;4;2;3;2;0;3;4;1
"Switzerland";"Forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Burglary (banks, shops, etc.)";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Switzerland";"Household burglary";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Shoplifting, etc.";2;2;2;2;0;1;1;1;2;2;0;3;2;1
"Switzerland";"Other theft";1;1;0;0;2;0;1;1;0;0;0;0;0;0
"Switzerland";"Theft of vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Theft of bicycles";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Theft of other objects";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Larceny by finding";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Embezzlement";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Switzerland";"Fraud";0;0;0;1;0;0;0;0;0;0;0;0;1;0
"Switzerland";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Handling stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Robbery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Gross tax evasion, etc.";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Switzerland";"Malicious damage to property";0;0;1;0;0;0;0;0;0;0;0;0;1;0
"Switzerland";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Other offences, total";1;0;0;0;0;0;0;1;1;1;0;0;0;0
"Switzerland";"Offences against public authority, etc.";1;0;0;0;0;0;0;0;0;1;0;0;0;0
"Switzerland";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Perjury, other";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Switzerland";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Trafficking of drugs, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Switzerland";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Privacy infringement, defamation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Trafic law, total";24;21;28;22;24;15;16;12;15;7;11;16;23;12
"Switzerland";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Traffic acc. under influence of alcohol";0;0;0;0;0;1;0;0;0;0;0;1;0;0
"Switzerland";"Drunken driving";0;2;2;3;1;3;0;2;1;1;1;0;3;0
"Switzerland";"Vehicle defect offences";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Road Traffic Act, other";24;19;26;18;23;11;16;10;14;6;10;15;20;12
"Switzerland";"Special laws, total";2;6;9;4;2;4;9;6;8;4;5;6;6;13
"Switzerland";"Euphoriants Act";0;2;2;4;0;1;3;1;4;1;1;0;0;2
"Switzerland";"Firearms Act";0;2;1;0;0;1;1;0;0;0;0;0;0;0
"Switzerland";"Income Tax And Fiscal Acts";0;0;1;0;0;0;0;0;0;0;0;0;1;2
"Switzerland";"Other special laws.";1;1;3;0;1;1;5;4;2;2;3;1;2;6
"Switzerland";"Health and social security legislation";1;0;1;0;0;0;0;0;0;0;0;1;2;0
"Switzerland";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Environmental Act";0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Switzerland";"Other legislation applying to animals, hunting, etc";0;1;0;0;0;0;0;0;0;0;0;2;1;0
"Switzerland";"Employ. and transport legislation, other";0;0;0;0;0;0;0;0;0;1;1;0;0;1
"Switzerland";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;0;1;2;0;0;1;0;0
"Switzerland";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Switzerland";"Other legislation relating to gambling, licencing, trade";0;0;0;0;1;1;0;0;0;0;0;0;0;0
"Switzerland";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Criminal decisions total";45;54;53;69;59;57;49;52;49;52;53;71;60;51
"Serbia and Montenegro";"Criminal code, total";22;25;22;27;24;19;16;12;9;16;18;12;16;15
"Serbia and Montenegro";"Sexual offenses, total";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Serbia and Montenegro";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Rape, etc";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Serbia and Montenegro";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Crimes of violence, total";4;9;4;3;2;5;1;0;3;7;3;3;7;5
"Serbia and Montenegro";"Assault against public servant while in discharge of his duties";0;0;1;1;0;0;0;0;2;1;0;0;2;1
"Serbia and Montenegro";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Common assault";3;8;3;1;2;3;1;0;1;6;2;2;4;3
"Serbia and Montenegro";"Grievous assault";0;1;0;1;0;2;0;0;0;0;0;1;0;1
"Serbia and Montenegro";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Serbia and Montenegro";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Threats";1;0;0;0;0;0;0;0;0;0;0;0;1;0
"Serbia and Montenegro";"Offenses against property, total";18;17;17;25;20;14;14;11;7;10;13;10;10;11
"Serbia and Montenegro";"Forgery";1;0;1;0;0;1;0;0;0;1;0;0;0;1
"Serbia and Montenegro";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Burglary (banks, shops, etc.)";1;0;0;0;1;1;0;0;0;0;0;1;0;0
"Serbia and Montenegro";"Household burglary";0;1;1;0;1;1;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Serbia and Montenegro";"Theft from cars, boats, etc.";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Shoplifting, etc.";9;10;5;13;12;8;5;7;4;5;10;0;7;4
"Serbia and Montenegro";"Other theft";2;4;6;8;4;0;5;1;2;2;0;0;0;2
"Serbia and Montenegro";"Theft of vehicle";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Theft of bicycles";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Serbia and Montenegro";"Theft of other objects";1;0;0;1;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Larceny by finding";0;1;0;1;0;0;0;0;0;0;0;0;1;1
"Serbia and Montenegro";"Embezzlement";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Fraud";0;1;0;0;1;1;1;2;1;1;1;3;0;3
"Serbia and Montenegro";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;1;1;0
"Serbia and Montenegro";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Handling stolen goods";0;0;2;1;0;1;1;1;0;0;1;3;1;0
"Serbia and Montenegro";"Robbery";2;0;1;1;0;1;1;0;0;1;0;1;0;0
"Serbia and Montenegro";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Malicious damage to property";0;0;0;0;1;0;1;0;0;0;0;0;0;0
"Serbia and Montenegro";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Other offences, total";0;1;1;1;2;1;2;1;0;1;2;0;0;1
"Serbia and Montenegro";"Offences against public authority, etc.";0;1;1;1;2;0;0;0;0;0;1;0;0;0
"Serbia and Montenegro";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Perjury, other";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Serbia and Montenegro";"Offences concerning money and evidence";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Serbia and Montenegro";"Trafficking of drugs, etc.";0;0;0;0;0;1;0;0;0;1;1;0;0;1
"Serbia and Montenegro";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Serbia and Montenegro";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Privacy infringement, defamation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Trafic law, total";19;24;30;40;28;36;26;31;30;33;30;50;39;27
"Serbia and Montenegro";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Serbia and Montenegro";"Traffic acc. under influence of alcohol";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Drunken driving";0;2;0;2;1;3;2;2;0;2;2;2;0;2
"Serbia and Montenegro";"Vehicle defect offences";1;0;2;2;1;1;0;0;1;2;1;1;1;0
"Serbia and Montenegro";"Road Traffic Act, other";18;22;28;36;26;32;24;29;29;29;27;47;38;24
"Serbia and Montenegro";"Special laws, total";6;10;10;12;10;11;10;15;11;15;21;20;14;19
"Serbia and Montenegro";"Euphoriants Act";1;4;6;4;4;1;0;2;1;4;6;3;5;2
"Serbia and Montenegro";"Firearms Act";2;1;0;2;1;2;0;0;0;1;4;1;0;0
"Serbia and Montenegro";"Income Tax And Fiscal Acts";0;0;1;0;1;1;1;1;0;0;0;2;2;1
"Serbia and Montenegro";"Other special laws.";2;5;2;6;3;5;8;10;8;7;9;10;5;13
"Serbia and Montenegro";"Health and social security legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Serbia and Montenegro";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Environmental Act";0;0;0;0;0;0;0;0;0;0;0;0;2;1
"Serbia and Montenegro";"Other legislation applying to animals, hunting, etc";1;0;1;0;0;0;0;0;1;1;1;0;0;0
"Serbia and Montenegro";"Employ. and transport legislation, other";0;0;0;0;0;0;0;0;0;0;1;3;0;0
"Serbia and Montenegro";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;0;0;1;1;0;1;0;0
"Serbia and Montenegro";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serbia and Montenegro";"Other legislation relating to gambling, licencing, trade";0;0;0;0;1;2;1;1;0;1;0;0;0;1
"Serbia and Montenegro";"Other special laws";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Soviet Union";"Criminal decisions total";44;49;55;44;46;51;41;42;38;29;45;32;38;37
"Soviet Union";"Criminal code, total";11;15;20;13;10;8;10;9;8;12;8;5;5;9
"Soviet Union";"Sexual offenses, total";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Soviet Union";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Soviet Union";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Soviet Union";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Crimes of violence, total";2;2;5;3;1;0;2;1;1;2;1;1;3;3
"Soviet Union";"Assault against public servant while in discharge of his duties";2;0;1;0;0;0;0;1;0;0;0;1;0;1
"Soviet Union";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Common assault";0;2;4;3;0;0;1;0;1;2;0;0;0;0
"Soviet Union";"Grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Soviet Union";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Soviet Union";"Threats";0;0;0;0;1;0;1;0;0;0;0;0;2;2
"Soviet Union";"Offenses against property, total";9;11;15;8;8;7;8;8;7;8;7;4;3;4
"Soviet Union";"Forgery";0;1;0;1;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Soviet Union";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
