"Persons of Danish origin";"Smuggling, etc. of drugs";84;78;104;93;111;149;70;61;89;68;103;80;45;62;48;37;42;68;88;114;64
"Persons of Danish origin";"General public offences";3;12;19;12;11;14;46;146;272;168;142;140;83;78;86;108;105;106;104;92;88
"Persons of Danish origin";"Illegal trade, etc.";29;17;13;11;12;22;3;6;3;3;5;8;2;3;2;0;2;0;0;0;0
"Persons of Danish origin";"Family relation offences";11;11;7;8;10;4;9;1;4;11;9;6;11;13;7;5;5;6;5;9;5
"Persons of Danish origin";"Homicide by negligence in traffic accidents";222;208;159;153;135;39;50;53;56;43;124;132;115;88;94;108;110;110;127;100;93
"Persons of Danish origin";"Warnings";118;137;126;132;116;93;100;81;104;76;46;73;51;1;1;2;0;0;0;0;0
"Persons of Danish origin";"Privacy infringement, defamation";187;257;293;342;260;255;362;386;240;298;228;250;248;287;257;230;197;285;360;346;350
"Persons of Danish origin";"Trafic law, total";78682;64272;90238;108534;96624;83820;82508;84286;86418;87645;89961;91733;88240;83669;82055;76433;71123;75301;95963;91214;77922
"Persons of Danish origin";"Traffic acc., unspecified";0;0;0;0;0;4;7;12;12;24;29;36;37;17;37;17;12;9;19;19;22
"Persons of Danish origin";"Traffic acc. under influence of alcohol";1668;1698;1610;1324;1048;1172;1147;1157;1067;969;1047;904;834;762;766;694;645;637;697;702;699
"Persons of Danish origin";"Drunken driving";7666;8384;9278;8994;8209;6192;6319;6267;6358;6304;7383;6578;6031;5352;4711;3812;5026;4944;4989;4462;4355
"Persons of Danish origin";"Vehicle defect offences";2345;3682;6873;6430;5486;4177;4017;5553;4836;5678;5357;3449;3254;2359;1681;1903;1683;2309;2908;2869;2459
"Persons of Danish origin";"Road Traffic Act, other";67003;50508;72477;91786;81881;72275;71018;71297;74145;74670;76145;80766;78084;75179;74860;70007;63757;67402;87350;83162;70387
"Persons of Danish origin";"Special laws, total";10909;10489;14885;17716;18563;14826;14893;16119;17672;26963;31317;29823;35808;35049;33662;30687;33701;39653;31031;29059;37624
"Persons of Danish origin";"Euphoriants Act";4974;4942;6084;7927;8594;6766;7322;7452;7336;8740;9631;9564;10626;9012;7494;7022;9018;9842;8570;7330;7973
"Persons of Danish origin";"Firearms Act";1258;1462;1814;1892;1864;1510;1522;1820;1640;1683;1437;1384;1389;1304;1434;1704;3031;5591;3545;2494;1690
"Persons of Danish origin";"Income Tax And Fiscal Acts";288;216;207;227;231;200;146;143;209;228;683;1145;1227;882;707;724;760;988;1454;1489;1322
"Persons of Danish origin";"Other special laws.";1112;754;2255;2620;2528;1949;1633;1749;2478;8901;11206;10009;15007;17338;16301;13248;13038;15639;9801;10396;18143
"Persons of Danish origin";"Health and social security legislation";351;277;427;454;335;273;398;436;477;453;414;322;270;253;270;333;435;425;1266;2367;793
"Persons of Danish origin";"Building and housing legislation";40;39;33;36;42;17;25;33;32;29;28;31;33;19;21;25;11;14;23;25;30
"Persons of Danish origin";"Environmental Act";713;763;727;769;592;484;487;649;747;928;973;963;1052;888;659;597;1082;1103;1433;1393;1537
"Persons of Danish origin";"Other legislation applying to animals, hunting, etc";561;568;1077;1458;1645;1337;1380;1593;2310;3209;3230;2666;2194;1857;1511;1440;1550;1687;1740;1654;1575
"Persons of Danish origin";"Employ. and transport legislation, other";905;786;1250;1222;1510;1121;1016;1134;1319;1657;1784;1195;1605;1528;1424;1090;1148;1401;1624;1108;1315
"Persons of Danish origin";"Companies Act";90;63;39;57;46;55;34;40;62;84;201;286;175;111;298;132;47;129;275;278;509
"Persons of Danish origin";"Other legislation applying to the Armed Forces";174;227;383;444;466;551;404;479;441;320;412;1073;1108;1011;2934;3772;2992;2182;801;222;2217
"Persons of Danish origin";"Legislation applying to public utilities";61;66;73;83;116;88;73;138;125;103;180;67;79;52;31;46;43;34;42;22;28
"Persons of Danish origin";"Other legislation relating to gambling, licencing, trade";375;315;500;499;573;444;427;426;466;607;1051;1085;904;748;539;503;484;552;388;230;463
"Persons of Danish origin";"Other special laws";7;11;16;28;21;31;26;27;30;21;87;33;139;46;39;51;62;66;69;51;29
"Immigrants, total";"Criminal decisions total";12086;11286;14952;17070;17129;14524;14766;16603;17380;18461;19943;19598;20520;20737;20262;20691;22264;24386;27976;28032;27016
"Immigrants, total";"Criminal code, total";4843;4956;5443;5328;4981;3998;4077;4489;4731;4909;4728;4455;4352;4201;4039;3829;3956;3769;4124;4065;4188
"Immigrants, total";"Sexual offenses, total";81;93;91;109;91;74;71;91;89;78;84;96;76;79;87;124;112;109;190;186;193
"Immigrants, total";"Incest, etc.";5;2;3;3;4;1;3;3;5;0;1;3;2;1;1;1;1;2;0;0;2
"Immigrants, total";"Rape, etc";21;22;12;15;16;14;11;20;21;15;15;17;13;14;25;40;28;24;28;26;30
"Immigrants, total";"Heterosexual offences with children under 12 years";4;3;3;3;7;6;5;1;7;4;2;7;0;0;0;0;0;0;0;0;0
"Immigrants, total";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;2;7;1;5;3;3;3;8;1
"Immigrants, total";"Heterosexual offences, other";7;4;8;12;7;10;11;8;6;7;7;7;1;1;0;0;0;0;0;0;0
"Immigrants, total";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;3;4;7;6;2;4;7;7;2
"Immigrants, total";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;7;5;6;9;1;1
"Immigrants, total";"Homosexual offences, with children under 12 years";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Immigrants, total";"Homosexual offences, other";0;2;2;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
"Immigrants, total";"Offences against decency, by  pawing";19;32;25;34;21;17;17;24;18;20;23;33;19;27;25;33;35;24;34;32;32
"Immigrants, total";"Offences against decency, by removing clothes";13;12;15;16;17;7;10;6;9;13;17;12;16;11;9;14;13;14;14;20;22
"Immigrants, total";"Offences against decency, other";9;10;14;15;13;13;6;18;11;7;8;11;9;9;13;14;22;21;32;28;40
"Immigrants, total";"Prostitution, etc.";3;6;9;9;5;5;8;11;9;12;11;6;8;5;4;4;3;11;63;64;63
"Immigrants, total";"Crimes of violence, total";952;1034;1276;1187;1247;1024;1044;1134;1156;1089;1017;905;841;896;921;1063;1103;991;1093;1018;971
"Immigrants, total";"Assault against public servant while in discharge of his duties";128;203;245;253;267;177;166;203;228;228;208;176;176;190;216;232;252;207;234;247;247
"Immigrants, total";"Disturbance of public order";3;1;0;0;0;0;2;0;4;0;1;2;4;0;0;2;2;8;6;2;3
"Immigrants, total";"Homicide";9;3;6;4;7;1;5;6;10;5;5;2;3;8;4;6;5;3;3;5;5
"Immigrants, total";"Attempted homicide";4;4;7;1;2;2;5;5;4;2;7;13;5;10;9;8;5;9;9;8;5
"Immigrants, total";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3
"Immigrants, total";"Common assault";529;533;676;590;620;553;587;615;604;567;510;432;410;440;465;508;532;479;541;461;444
"Immigrants, total";"Grievous assault";142;135;177;160;186;145;152;156;129;150;162;162;119;121;101;174;179;161;149;143;127
"Immigrants, total";"Particularly grievous assault";8;0;6;6;6;1;1;1;1;1;2;2;1;0;1;0;1;1;0;2;2
"Immigrants, total";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
