"Age, total";"Total";"Region Hovedstaden";"Ethiopia";344
"Age, total";"Total";"Region Hovedstaden";"Gabon";1
"Age, total";"Total";"Region Hovedstaden";"Gambia, The";313
"Age, total";"Total";"Region Hovedstaden";"Ghana";1090
"Age, total";"Total";"Region Hovedstaden";"Guinea";60
"Age, total";"Total";"Region Hovedstaden";"Guinea-Bissau";43
"Age, total";"Total";"Region Hovedstaden";"Cape Verde";5
"Age, total";"Total";"Region Hovedstaden";"Kenya";416
"Age, total";"Total";"Region Hovedstaden";"Lesotho";3
"Age, total";"Total";"Region Hovedstaden";"Liberia";17
"Age, total";"Total";"Region Hovedstaden";"Libya";48
"Age, total";"Total";"Region Hovedstaden";"Madagascar";10
"Age, total";"Total";"Region Hovedstaden";"Malawi";9
"Age, total";"Total";"Region Hovedstaden";"Mali";13
"Age, total";"Total";"Region Hovedstaden";"Morocco";2244
"Age, total";"Total";"Region Hovedstaden";"Mauritania";4
"Age, total";"Total";"Region Hovedstaden";"Mauritius";32
"Age, total";"Total";"Region Hovedstaden";"Mozambique";52
"Age, total";"Total";"Region Hovedstaden";"Namibia";23
"Age, total";"Total";"Region Hovedstaden";"Niger";5
"Age, total";"Total";"Region Hovedstaden";"Nigeria";997
"Age, total";"Total";"Region Hovedstaden";"Reunion";0
"Age, total";"Total";"Region Hovedstaden";"Rwanda";92
"Age, total";"Total";"Region Hovedstaden";"Sao Tome and Principe";0
"Age, total";"Total";"Region Hovedstaden";"Senegal";77
"Age, total";"Total";"Region Hovedstaden";"Seychelles";2
"Age, total";"Total";"Region Hovedstaden";"Sierra Leone";138
"Age, total";"Total";"Region Hovedstaden";"Saint Helena";0
"Age, total";"Total";"Region Hovedstaden";"Somalia";2530
"Age, total";"Total";"Region Hovedstaden";"Spanish territories in Africa";0
"Age, total";"Total";"Region Hovedstaden";"Sudan";201
"Age, total";"Total";"Region Hovedstaden";"South Africa";478
"Age, total";"Total";"Region Hovedstaden";"South Sudan";17
"Age, total";"Total";"Region Hovedstaden";"Southwest Africa";0
"Age, total";"Total";"Region Hovedstaden";"Tanzania";214
"Age, total";"Total";"Region Hovedstaden";"Chad";3
"Age, total";"Total";"Region Hovedstaden";"Togo";41
"Age, total";"Total";"Region Hovedstaden";"Tunisia";336
"Age, total";"Total";"Region Hovedstaden";"Uganda";563
